feature_name,source_day,spread_signal,spread_partial_r,spread_conferences,ou_signal,ou_partial_r,ou_conferences,moneyline_variance_signal,yoy_stability_r,yoy_verdict,role,ambiguity_flag,final_decision,decision_justification
off_success_rate_std_downs_delta,15,no,0.0582,"Pac-12, Big 12, Big Ten, Mountain West",no,-0.0183,"Big 12, Mid-American",no,0.3183,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_success_rate_pass_downs_delta,15,no,0.0755,"Conference USA, Sun Belt, Pac-12, Mountain West, SEC",no,0.0444,"Mountain West, Mid-American",no,0.2531,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_epa_rush_delta,15,no,-0.0503,"Sun Belt, Conference USA, SEC, Pac-12, Big 12",no,-0.0154,"Conference USA, ACC, Big Ten",no,0.301,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_epa_pass_delta,15,no,0.0881,"Sun Belt, Conference USA, SEC, Pac-12, American Athletic, Big Ten",no,0.0301,"Sun Belt, Mid-American, Big Ten, ACC",no,0.2755,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_explosive_rate_10_delta,15,no,-0.0712,"ACC, SEC, Mid-American, Conference USA, Sun Belt, Mountain West, American Athletic, Big 12",no,-0.0228,"Pac-12, Big Ten",no,0.3277,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_explosive_rate_20_delta,15,no,-0.0311,"Conference USA, Sun Belt, Pac-12, Big 12, ACC, Mid-American",no,-0.0164,"Pac-12, Big 12, Mountain West, Conference USA",no,0.2792,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_stuff_rate_delta,15,no,0.0453,"Big 12, Sun Belt",no,0.0063,"Conference USA, ACC, Pac-12, Sun Belt",no,0.2617,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_line_yards_per_rush_delta,15,no,-0.0688,"Sun Belt, Big 12, Conference USA",no,0.0133,"Conference USA, Sun Belt, Big 12, Pac-12",no,0.2662,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_pts_per_opportunity_delta,15,no,0.1469,"SEC, Conference USA, Big Ten, Big 12, Sun Belt, Mountain West, Pac-12",no,0.001,"Mountain West, ACC, Mid-American, Pac-12, SEC",no,0.1703,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
rush_rate_std_downs_delta,15,no,0.2927,"Mid-American, SEC, Big Ten, American Athletic, ACC, Big 12, Sun Belt, Mountain West, Pac-12",no,0.0117,"Mid-American, Sun Belt, Big Ten",no,0.489,stable,supporting,yes,include,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
rush_rate_pass_downs_delta,15,no,0.2166,"SEC, Pac-12, ACC, Big Ten, Mid-American, Mountain West, American Athletic, Big 12, Sun Belt",no,-0.0291,"ACC, Pac-12, Big 12, Sun Belt",no,0.4648,stable,supporting,yes,include,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
off_sack_rate_allowed_delta,15,no,-0.0713,"Pac-12, Mid-American, Sun Belt, Big Ten",no,0.014,"American Athletic, Mid-American",no,0.2438,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_success_rate_rush_allowed_delta,15,no,-0.0067,"Pac-12, Big Ten, Mid-American, Sun Belt, SEC",no,0.0067,"Big 12, Mid-American, Conference USA, Pac-12",no,0.3441,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_success_rate_pass_allowed_delta,15,no,-0.1427,"Pac-12, Big 12, Sun Belt, SEC, Conference USA, Big Ten, ACC",no,-0.0253,"Sun Belt, Pac-12, Big Ten, Mid-American",no,0.273,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_success_rate_std_downs_allowed_delta,15,no,-0.0582,"Pac-12, Big 12, Big Ten, Mountain West",no,0.0183,"Big 12, Mid-American",no,0.3717,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_epa_rush_allowed_delta,15,no,0.0503,"Sun Belt, Conference USA, SEC, Pac-12, Big 12",no,0.0154,"Conference USA, ACC, Big Ten",no,0.3091,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_epa_pass_allowed_delta,15,no,-0.0881,"Sun Belt, Conference USA, SEC, Pac-12, American Athletic, Big Ten",no,-0.0301,"Sun Belt, Mid-American, Big Ten, ACC",no,0.2974,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_stuff_rate_allowed_delta,15,no,-0.0453,"Big 12, Sun Belt",no,-0.0063,"Conference USA, ACC, Pac-12, Sun Belt",no,0.2947,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_explosive_rate_10_allowed_delta,15,no,0.0712,"ACC, SEC, Mid-American, Conference USA, Sun Belt, Mountain West, American Athletic, Big 12",no,0.0228,"Pac-12, Big Ten",no,0.3099,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_explosive_rate_20_allowed_delta,15,no,0.0311,"Conference USA, Sun Belt, Pac-12, Big 12, ACC, Mid-American",no,0.0164,"Pac-12, Big 12, Mountain West, Conference USA",no,0.3246,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_pts_per_opportunity_allowed_delta,15,no,-0.1469,"SEC, Conference USA, Big Ten, Big 12, Sun Belt, Mountain West, Pac-12",no,-0.001,"Mountain West, ACC, Mid-American, Pac-12, SEC",no,0.2172,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
def_sack_rate_delta,15,no,0.0713,"Pac-12, Mid-American, Sun Belt, Big Ten",no,-0.014,"American Athletic, Mid-American",no,0.1981,unstable,excluded,no,exclude,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion."
offense_archetype_matchup,16,yes,,,yes,,all,no,,unstable,conference_specific,yes,include,"O/U confirmed (eta2=0.3684), weak spread secondary (eta2=0.0188); not valid for ML variance; not stable for prior seeding; deployable pregame version required. (Ambiguity 2 resolved: include.)"
defense_archetype_matchup,16,yes,,,yes,,all,no,,unstable,conference_specific,yes,include,"O/U confirmed (eta2=0.3901), weak spread secondary (eta2=0.0213); not valid for ML variance; not stable for prior seeding; deployable pregame version required. (Ambiguity 2 resolved: include.)"
home_off_vs_away_def_matchup,16,yes,,,yes,,all,no,,unstable,supporting,yes,include,"O/U confirmed (eta2=0.2234), weak spread secondary (eta2=0.0103); deployable pregame version required. (Ambiguity 2 resolved: include.)"
away_off_vs_home_def_matchup,16,no,,,yes,,all,no,,unstable,supporting,yes,include,O/U confirmed (eta2=0.2328); spread secondary did not clear threshold; deployable pregame version required. (Ambiguity 2 resolved: include.)
game_script_avg_margin_delta,17,no,,,no,,,no,,not_applicable,excluded,no,exclude,Diagnostic only: near-tautological with point_differential (raw r=0.9075); post-game feature.
game_script_ordinal_delta,17,no,,,no,,,no,,not_applicable,excluded,no,exclude,Diagnostic only: derived from in-game score margin (raw r=0.8628); post-game feature.
close_game_play_count_delta,17,no,,"ACC,American Athletic,Big 12,Mid-American,Pac-12,Sun Belt",no,,,no,,not_applicable,conference_specific,yes,include,"Conference-specific spread signal in 6/10 conferences (ACC, American Athletic, Big 12, Mid-American, Pac-12, Sun Belt); holds from game 1; no O/U or ML variance signal. (Ambiguity 1 resolved: include.)"
