feature_name,source_day,spread_signal,spread_partial_r,spread_conferences,ou_signal,ou_partial_r,ou_conferences,moneyline_variance_signal,yoy_stability_r,yoy_verdict,role,ambiguity_flag,final_decision,decision_justification,model_layer,prior_type,prior_mean,prior_sd,prior_justification,conference_scope,threshold_spec,null_handling
last3_points_scored_avg,12,no,0.0888,"ACC,Big 12,Big Ten,Conference USA,Mid-American,Mountain West",no,0.0696,,no,,unstable,conference_specific,no,include,Conference-specific supporting; signal holds from conf game 2 in 6 conferences.,game_level,normal,0.0,0.3,Conference-specific supporting; signal from conf game 2 in 6 conferences; weakly informative normal.,"ACC,Big 12,Big Ten,Conference USA,Mid-American,Mountain West",,impute_season_prior
last3_points_allowed_avg,12,yes,-0.1149,"American Athletic,Big Ten,Conference USA,Mountain West,Pac-12,Sun Belt",no,0.0995,,no,,unstable,conference_specific,no,include,Conference-specific supporting; signal holds from conf game 2 in 6 conferences.,game_level,normal,0.0,0.3,Conference-specific supporting; signal from conf game 2 in 6 conferences; weakly informative normal.,"American Athletic,Big Ten,Conference USA,Mountain West,Pac-12,Sun Belt",,impute_season_prior
last3_win_pct,12,yes,0.1249,all,no,-0.0127,,no,,unstable,supporting,no,include,Broad supporting spread signal from conf game 2 across conferences.,game_level,normal,0.0,0.3,Broad supporting spread signal from conf game 2; weakly informative normal.,all,,impute_season_prior
days_since_last_game,12,no,0.0205,"American Athletic,Big 12",no,0.0143,,no,,unstable,conference_specific,no,include,Bye week signal (>=12d) in American Athletic and Big 12 only; redundant elsewhere.,game_level,normal,0.0,0.2,Bye week signal (>=12d) in American Athletic and Big 12 only; weakly informative normal.,"American Athletic,Big 12",days_since_last_game >= 12,zero
pregame_elo,13,yes,0.1664,all,no,-0.0473,,no,0.8423,stable,supporting,no,include,"Game-level spread predictor: r=0.1702 full population, holds at conf game 1 (r=0.1870); YoY r=0.8452.",game_level,normal,0.0,0.3,Game-level spread predictor; partial r=0.1702; holds at conf game 1; weakly informative normal.,all,,not_applicable
elo_sp_divergence,13,yes,-0.115,all,no,-0.0282,,no,,unstable,supporting,yes,include,"Spread r=0.1650 after SP+ controlled; compute in notebook first, add to dbt after model confirms value. (Ambiguity 5 resolved: include.)",game_level,normal,0.0,0.2,Spread r=0.1650 after SP+ controlled; weakly informative normal; computed in notebook; add to dbt only after model confirms value.,all,,not_applicable
rush_rate_std_downs_delta,15,no,0.2927,"Mid-American, SEC, Big Ten, American Athletic, ACC, Big 12, Sun Belt, Mountain West, Pac-12",no,0.0117,"Mid-American, Sun Belt, Big Ten",no,0.489,stable,supporting,yes,include,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion.",game_level,normal,0.0,0.3,Spread signal confirmed across all season buckets including game 1 (r=0.2965–0.3628); weakly informative normal; not a prior seed (YoY r=0.4890 insufficient).,all,,not_applicable
rush_rate_pass_downs_delta,15,no,0.2166,"SEC, Pac-12, ACC, Big Ten, Mid-American, Mountain West, American Athletic, Big 12, Sun Belt",no,-0.0291,"ACC, Pac-12, Big 12, Sun Belt",no,0.4648,stable,supporting,yes,include,"Signal tested using in-game home-minus-away style deltas. This qualifies the football dimension, not direct pregame deployability. Pregame rolling/current-season versions must be tested before model inclusion.",game_level,normal,0.0,0.3,Spread signal confirmed; weakly informative normal; not a prior seed (YoY r=0.4648 insufficient).,all,,not_applicable
offense_archetype_matchup,16,yes,,,yes,,all,no,,unstable,conference_specific,yes,include,"O/U confirmed (eta2=0.3684), weak spread secondary (eta2=0.0188); not valid for ML variance; not stable for prior seeding; deployable pregame version required. (Ambiguity 2 resolved: include.)",game_level,normal,0.0,0.3,O/U feature (eta2=0.3684); weakly informative normal; deployable pregame version required before production. (Ambiguity 2 resolved: include.),all,,not_applicable
defense_archetype_matchup,16,yes,,,yes,,all,no,,unstable,conference_specific,yes,include,"O/U confirmed (eta2=0.3901), weak spread secondary (eta2=0.0213); not valid for ML variance; not stable for prior seeding; deployable pregame version required. (Ambiguity 2 resolved: include.)",game_level,normal,0.0,0.3,O/U feature (eta2=0.3901); weakly informative normal; deployable pregame version required before production. (Ambiguity 2 resolved: include.),all,,not_applicable
home_off_vs_away_def_matchup,16,yes,,,yes,,all,no,,unstable,supporting,yes,include,"O/U confirmed (eta2=0.2234), weak spread secondary (eta2=0.0103); deployable pregame version required. (Ambiguity 2 resolved: include.)",game_level,normal,0.0,0.3,O/U feature (eta2=0.2234); weakly informative normal; deployable pregame version required.,all,,not_applicable
away_off_vs_home_def_matchup,16,no,,,yes,,all,no,,unstable,supporting,yes,include,O/U confirmed (eta2=0.2328); spread secondary did not clear threshold; deployable pregame version required. (Ambiguity 2 resolved: include.),game_level,normal,0.0,0.3,O/U feature (eta2=0.2328); weakly informative normal; deployable pregame version required.,all,,not_applicable
close_game_play_count_delta,17,no,,"ACC,American Athletic,Big 12,Mid-American,Pac-12,Sun Belt",no,,,no,,not_applicable,conference_specific,yes,include,"Conference-specific spread signal in 6/10 conferences (ACC, American Athletic, Big 12, Mid-American, Pac-12, Sun Belt); holds from game 1; no O/U or ML variance signal. (Ambiguity 1 resolved: include.)",game_level,normal,0.0,0.2,Conference-specific spread signal in 6 conferences; holds from game 1; weakly informative normal. (Ambiguity 1 resolved: include.),"ACC,American Athletic,Big 12,Mid-American,Pac-12,Sun Belt",,not_applicable
